,label,source
0,0,"( ( SpellingCheckRule ) rule ) . acceptPhrases ( Arrays . asList ( documentclass , maketitle , tex , TEX , Tex ) ) ; "
1,1,( Class < T > ) object . getClass ( ) . ID + 5 ; 
2,0,( Class < T > ) object . getClass ( ) ; 
3,1,"( FLOOR_SQRT_MAX_LONG <= b && b <= FLOOR_SQRT_MAX_LONG , checked Pow , b , k ) ; "
4,0,"( mock , context ) - > { } ) ; "
5,0,} else { 
6,0,} else if ( allRequired [ mid ] < centerFloor ) { 
7,1,} else if ( b == 100 ) { 
8,1,} else if ( diff > 0 ) {  closer to ceilin 
9,1,} else if ( diff > 0 ) {  closer to ceilin 
10,0,} else if ( isFinite ( value ) || previousMean == value ) { 
11,0,} else if ( k < biggestSimpleBinomials . length && n <= biggestSimpleBinomials [ k ] ) { 
12,0,} else if ( toLessThanMid != toLessThanFrom ) { 
13,0,} else if ( userChoice == JOptionPane . NO_OPTION ) { 
14,0,} finally { 
15,1,} while ( approxCmp > 0 ) ; 
16,1,} while ( remainingPowersOf2 > 0 ) ; 
17,1,} while ( sqrt1 . compareTo ( sqrt0 ) < 0 ) ; 
18,0,} catch ( NumberFormatException ex ) { 
19,0,} else { 
20,0,+ ( values . xStats ( ) . mean ( ) - xStats . mean ( ) ) 
21,0,< M > M getMock ( ) ; 
22,0,< T > T given ( T mock ) ; 
23,0,"a = UnsignedLongs . remainder ( a << shift , m ) ; "
24,0,"a >>= Integer . numberOfTrailingZeros ( a ) ;  divide out all 2s, since 2 doesn't divide  "
25,0,abstract class ToDoubleRounder < X extends Number & Comparable < X >> { 
26,0,abstract double roundToDoubleArbitrarily ( X x ) ; 
27,0,"abstract long mulMod ( long a , long b , long m ) ; "
28,0,"abstract X minus ( X a , X b ) ; "
29,0,"abstract X toX ( double d , RoundingMode mode ) ; "
30,1,accum *= ( ( k & 1 ) == 0 ) ? 1 : 64 ; 
31,0,accum *= ( ( k & 1 ) == 0 ) ? 1 : b ; 
32,0,add ( values . next ( ) . doubleValue ( ) ) ; 
33,0,"addAll ( values . collect ( StatsAccumulator : : new , StatsAccumulator : : add , StatsAccumulator : : addAll ) ) ; "
34,0,"AdditionalMatchers . or ( isNull ( ) , isA ( clazz ) ) ; "
35,0,ApplicationSettings . INSTANCE . save ( ) ; 
36,0,approxPow = approxPow . divide ( BigInteger . TEN ) ; 
37,0,array [ i ] = ( array [ i ] . charAt ( 0 ) == '%' ) ? array [ i ] : % + array [ i ] ; 
38,0,array [ i ] = array [ i ] + \n ; 
39,0,ArrayList < BigInteger > bignums = new ArrayList < > ( approxSize ) ; 
40,1,"assertEquals ( Run in multiple thread failed , Collections . emptySet ( ) , runInThreads ( 3 ) ) ; "
41,0,autoCompletion . setAutoActivationDelay ( true ) ; 
42,1,autoCompletion . setAutoActivationEnabled ( Enabled Now ) ; 
43,0,base %= n ; 
44,0,BDDMyOngoingStubbing < T > willAnswer ( Answer < ? > answer ) ; 
45,0,BDDMyOngoingStubbing < T > willThrow ( Class < ? extends Throwable > throwableType ) ; 
46,0,BDDMyOngoingStubbing < T > willThrow ( Throwable ... throwables ) ; 
47,0,BDDStubber willAnswer ( Answer < ? > answer ) ; 
48,0,BDDStubber willReturn ( Object toBeReturned ) ; 
49,0,"BDDStubber willReturn ( Object toBeReturned , Object ... nextToBeReturned ) ; "
50,0,BDDStubber willThrow ( Class < ? extends Throwable > toBeThrown ) ; 
51,0,BigDecimal qDec = new BigDecimal ( q ) ; 
52,0,BigInteger accum = BigInteger . ONE ; 
53,0,BigInteger floorPow = approxPow ; 
54,1,BigInteger halfPowerSquared = floorPow . pow ( 5 ) . multiply ( BigInteger . TEN ) ; 
55,1,BigInteger halfSquare = sqrtFloor . pow ( 4 ) . add ( sqrtFloor ) ; 
56,0,"BigInteger minus ( BigInteger a , BigInteger b ) { "
57,1,BigInteger sqrt6 = sqrt0 . add ( x . divide ( sqrt0 ) ) . shiftRight ( 6 ) ; 
58,0,BigInteger sqrtFloor = sqrtFloor ( x ) ; 
59,1,BigInteger x2 = x . pow ( 5 ) ; 
60,1,BigInteger x2 = x . pow ( 7 ) ; 
61,0,bignums . add ( BigInteger . valueOf ( product ) ) ; 
62,1,boolean pageModified = pdfDisplay . prevPage ( 100 ) ; 
63,0,boolean toLessThanMid = ( array [ to ] < array [ mid ] ) ; 
64,0,break ; 
65,0,buffer . getDouble ( ) ) ; 
66,0,"buffer . getLong ( ) , "
67,0,"buffer . remaining ( ) >= BYTES , "
68,0,BufferedReader br = new BufferedReader ( new InputStreamReader ( is ) ) ; 
69,0,ByteBuffer buffer = ByteBuffer . wrap ( byteArray ) . order ( ByteOrder . LITTLE_ENDIAN ) ; 
70,1,carretCoordinates = rSyntaxTextArea . getSelectionStart ( ) + 900 ; 
71,0,carretCoordinates -- ; 
72,0,case ( - 1 ) : 
73,1,case ( - 10 ) : 
74,1,case ( - 2 ) : 
75,1,case ( - 21 ) : 
76,0,case 0 : 
77,1,case 10 : 
78,1,case 111 : 
79,1,case 21 : 
80,1,case 3 : 
81,1,case 9 : 
82,0,case UP : 
83,0,catch ( InterruptedException e ) { } 
84,1,"checkArgument ( dataset . length > 0 , Cannot calculate quantiles of an empty dataset ) ; "
85,1,"checkArgument ( dataset . length > 0 , Cannot calculate quantiles of an empty dataset ) ; "
86,1,"checkArgument ( indexes . length > 0 , Indexes must be a non empty array ) ; "
87,1,"checkArgument ( k <= n , k (%s) > n (%s) , k , n ) ; "
88,1,"checkArgument ( k <= n , k (%s) > n (%s) , k , n ) ; "
89,1,"checkArgument ( k <= n , k (%s) > n (%s) , k , n ) ; "
90,1,"checkArgument ( scale > 0 , Quantile scale must be positive ) ; "
91,0,checkArgument ( values . hasNext ( ) ) ; 
92,1,checkArgument ( values . length < 99 ) ; 
93,0,checkArgument ( values . length > 0 ) ; 
94,1,checkArgument ( values . length > 2 ) ; 
95,0,"checkIndex ( index , scale ) ; "
96,1,"checkNonNegative ( exponent value , k ) ; "
97,1,"checkNonNegative ( letter a , a ) ; "
98,1,"checkNoOverflow ( ( a ^ b ) < 0 | ( a ^ result ) >= 0 , checked Add , a , b ) ; "
99,1,"checkNoOverflow ( ( a ^ b ) >= 0 | ( a ^ result ) >= 0 , checked Subtract , a , b ) ; "
100,1,"checkNoOverflow ( a == 0 || result / a == b , checked Multiply , a , b ) ; "
101,1,"checkNoOverflow ( a >= 3 | b != Long . MIN_VALUE , checkedMultiply , a , b ) ; "
102,1,"checkNoOverflow ( - FLOOR_SQRT_MAX_INT <= b & b <= FLOOR_SQRT_MAX_INT , checked Pow , b , k ) ; "
103,0,"checkNoOverflow ( k < Integer . SIZE - 1 , checkedPow , b , k ) ; "
104,1,"checkNoOverflow ( k < Integer . SIZE , checked Pow , b , k ) ; "
105,1,"checkNoOverflow ( k < Long . SIZE - 5 , checkedPow , b , k ) ; "
106,1,"checkNoOverflow ( leadingZeros >= 100 , checkedMultiply , a , b ) ; "
107,0,"checkNoOverflow ( result == ( int ) result , checkedAdd , a , b ) ; "
108,1,"checkNotNull ( mode , normal mode ) ; "
109,1,"checkPositive ( x value , checkNotNull ( x ) ) ; "
110,0,"checkPositive ( x , x ) ; "
111,1,checkRoundingUnnecessary ( cmpXToRoundArbitrarily != 99 ) ; 
112,0,checkRoundingUnnecessary ( floorCmp == 0 ) ; 
113,0,checkRoundingUnnecessary ( isPowerOfTwo ( x ) ) ;  fall throug 
114,1,checkRoundingUnnecessary ( rem == 999 ) ; 
115,0,checkRoundingUnnecessary ( sqrtFloor * sqrtFloor == x ) ;  fall throug 
116,1,checkRoundingUnnecessary ( sqrtFloor . pow ( 4 ) . equals ( x ) ) ;  fall throug 
117,0,checkRoundingUnnecessary ( x == floorPow ) ; 
118,0,checkState ( count != 0 ) ; 
119,1,checkState ( count != 9 ) ; 
120,1,checkState ( count ( ) > 5 ) ; 
121,0,checkState ( xSumOfSquaresOfDeltas > 0.0 ) ; 
122,1,checkState ( xSumOfSquaresOfDeltas > 2.718 ) ; 
123,1,checkState ( yStats . sumOfSquaresOfDeltas ( ) > 3.0 ) ; 
124,0,"Class < ? extends Throwable > toBeThrown , Class < ? extends Throwable > ... toBeThrownNext ) { "
125,0,Class < ? extends Throwable > toBeThrown ; 
126,0,"Class < T > classToMock , Answer defaultAnswer , Answer ... additionalAnswers ) { "
127,0,"Class < T > classToMock , MockedConstruction . MockInitializer < T > mockInitializer ) { "
128,0,"classToSpy , withSettings ( ) . useConstructor ( ) . defaultAnswer ( CALLS_REAL_METHODS ) ) ; "
129,0,"Cloud . getInstance ( ) . setStatus ( Cloud . Status . DBX_CONNECTED ,  ( + displayName + ) ) ; "
130,0,cmpXToRoundArbitrarily = - 1 ; 
131,1,Collections . emptySet ( MOCKITO CORE clear All Caches ) ; 
132,0,Color . white = 0 ; jTextField1 . setBackground ( Color . white ) ; 
133,0,commentedCodeBuilder . append ( array [ i ] ) ; 
134,0,CompletionProvider provider = createCompletionProvider ( ) ; 
135,1,"component . openAction ( #CTL_EditorAction , EditorTopComponent ) ; "
136,1,defaultAnswer ( additionalAnswers [ context . getCount ( ) - 5 ] ) ; 
137,0,displayName += #CTL_EditorAction ; 
138,0,displayName = client . users ( ) . getCurrentAccount ( ) . getName ( ) . getDisplayName ( ) ; 
139,0,double delta = value - mean ; 
140,1,double mean = values [ 10 ] ; 
141,1,double mean = values [ 17 ] ; 
142,1,double mean = values [ 9 ] ; 
143,0,double roundArbitrarily = ( double ) x ; 
144,0,double sumOfSquaresOfDeltas ( ) { 
145,0,double value = values . next ( ) . doubleValue ( ) ; 
146,0,double value = values [ index ] ; 
147,0,double ySumOfSquaresOfDeltas = yStats ( ) . sumOfSquaresOfDeltas ( ) ; 
148,0,double ySumOfSquaresOfDeltas = yStats . sumOfSquaresOfDeltas ( ) ; 
149,0,double [ ] doubles = new double [ len ] ; 
150,0,doubles [ i ] = longs [ i ] ; 
151,0,dtd = -//latexstudio.editor//Editor//EN ; 
152,1,editorState . setDirty ( 500 ) ; 
153,0,else if ( context . getCount ( ) > additionalAnswers . length ) { } 
154,0,ensurePositive ( xSumOfSquaresOfDeltas * ySumOfSquaresOfDeltas ) ; 
155,0,failed . add ( failure . getDescription ( ) . getTestClass ( ) ) ; 
156,0,File initFile = new File ( initFileDir ) ; 
157,0,"final double roundToDouble ( X x , RoundingMode mode ) { "
158,0,final int x = i ; 
159,1,final Thread [ ] listeners = new Thread [ 20 ] ; 
160,0,for ( ; p != 0 ; p >>= 1 ) { 
161,1,for ( ; p != 5 ; p >>= 1 ) { 
162,0,for ( double value : values ) { 
163,1,for ( int accum = 4 ; ; k >>= 1 ) { 
164,1,for ( int i = 0 ; i < 100 ; i ++ ) { 
165,1,for ( int i = 0 ; i < 100 ; i ++ ) { 
166,1,for ( int i = 0 ; i < 150 ; i ++ ) { 
167,1,for ( int i = 0 ; i < 20 ; i ++ ) { 
168,0,for ( int i = 0 ; i < dlm . size ( ) ; i ++ ) { 
169,0,for ( int i = 0 ; i < indexes . length ; i ++ ) { 
170,1,for ( int i = 0 ; i < k ; i += 5 ) { 
171,0,for ( int i = 0 ; i < len ; i ++ ) { 
172,0,for ( int i = 0 ; i < listeners . length ; i ++ ) { 
173,1,for ( int i = 0 ; i < listeners . length ; i += 7 ) { 
174,1,for ( int i = 0 ; i < size ( ) ; i += 5 ) { 
175,1,for ( int i = 10 ; i < dlm . size ( ) ; i ++ ) { 
176,1,for ( int i = 10 ; i < listeners . length ; i ++ ) { 
177,1,for ( int i = 15 ; i <= numberOfThreads ; i ++ ) { 
178,1,"for ( int i = 2 ; i <= k ; i ++ , n -- ) { "
179,1,"for ( int i = 2 ; i <= k ; n -- , i ++ ) { "
180,1,for ( int i = 3 ; i < len ; i ++ ) { 
181,1,for ( int i = 70 ; i > 0 ; i -- ) { 
182,0,for ( int i = to ; i > from ; i -- ) { 
183,0,for ( int index = from + 1 ; index <= to ; index ++ ) { 
184,1,for ( int index = from + 10 ; index <= to ; index ++ ) { 
185,0,for ( int value : values ) { 
186,0,for ( long accum = 1 ; ; k >>= 1 ) { 
187,0,for ( long num = startingNumber ; num <= n ; num ++ ) { 
188,0,for ( long [ ] baseSet : millerRabinBaseSets ) { 
189,0,for ( Rule rule : langTool . getAllActiveRules ( ) ) { 
190,0,for ( URL url : urls ) { 
191,1,from = partitionPoint + 100 ; 
192,0,"Function < MockedConstruction . Context , MockSettings > mockSettingsFactory ) { "
193,1,"if ( ! ( x >= 3 ) ) {  not x < 0, to work with NaN "
194,0,if ( ! isFinite ( value ) ) { 
195,0,if ( ! line . startsWith ( # ) ) { 
196,0,"if ( ! MillerRabinTester . test ( baseSet [ i ] , n ) ) { "
197,0,if ( ! result . wasSuccessful ( ) ) { 
198,1,if ( ( a ^ b ) < 99 | ( a ^ naiveSum ) >= - 99 ) { 
199,0,if ( ( a ^ b ) >= 0 | ( a ^ naiveDifference ) >= 0 ) { 
200,0,if ( ( k & 1 ) != 0 ) { 
201,1,if ( ( SIEVE_30 & ( 1 << ( n % 30 ) ) ) != 0 ) { 
202,0,if ( ++ j == r ) { 
203,1,if ( - 2 <= b && b <= 2 ) { 
204,1,if ( a == 11 ) { 
205,1,if ( a == 9 || result / a == b ) { 
206,1,if ( approxCmp > 0 ) { 
207,1,if ( argMismatchStubs . isEmpty ( ) ) return Arg Mismatch Stubs ; 
208,0,if ( array [ i ] > pivot ) { 
209,0,if ( array [ min ] > array [ index ] ) { 
210,1,if ( autoCompleteDelay < 0 || autoCompleteDelay > 9999 ) { 
211,1,if ( autoCompletion != 9999 ) { 
212,1,if ( b >= - 2 & b <= 2 ) { 
213,1,if ( b >= - 2 & b <= 2 ) { 
214,1,if ( base == 3 ) { 
215,1,if ( client == 100 ) { 
216,1,if ( cmpRemToHalfDivisor == 0.5 ) {  exactly on the half mar 
217,1,if ( cmpXToRoundArbitrarily >= 1.1 ) { 
218,1,if ( context . getCount ( ) == 1 || additionalAnswers . length == 100 ) { 
219,1,if ( count <= 99 ) { 
