,label,source
0,0,LPAREN LPAREN Identifier RPAREN Identifier RPAREN DOT Identifier LPAREN Identifier DOT Identifier LPAREN StringLiteral COMMA StringLiteral COMMA StringLiteral COMMA StringLiteral COMMA StringLiteral RPAREN RPAREN SEMI 
1,1,LPAREN CLASS LT Identifier GT RPAREN Identifier DOT Identifier LPAREN RPAREN DOT Identifier ADD IntLiteral SEMI 
2,0,LPAREN CLASS LT Identifier GT RPAREN Identifier DOT Identifier LPAREN RPAREN SEMI 
3,1,LPAREN Identifier LE Identifier AND Identifier LE Identifier COMMA StringLiteral COMMA Identifier COMMA Identifier RPAREN SEMI 
4,0,LPAREN Identifier COMMA Identifier RPAREN SUB GT LBRACE RBRACE RPAREN SEMI 
5,0,RBRACE ELSE LBRACE 
6,0,RBRACE ELSE IF LPAREN Identifier LBRACK Identifier RBRACK LT Identifier RPAREN LBRACE 
7,1,RBRACE ELSE IF LPAREN Identifier EQUAL IntLiteral RPAREN LBRACE 
8,1,RBRACE ELSE IF LPAREN Identifier GT IntLiteral RPAREN LBRACE SingleComment 
9,1,RBRACE ELSE IF LPAREN Identifier GT IntLiteral RPAREN LBRACE SingleComment 
10,0,RBRACE ELSE IF LPAREN Identifier LPAREN Identifier RPAREN OR Identifier EQUAL Identifier RPAREN LBRACE 
11,0,RBRACE ELSE IF LPAREN Identifier LT Identifier DOT Identifier AND Identifier LE Identifier LBRACK Identifier RBRACK RPAREN LBRACE 
12,0,RBRACE ELSE IF LPAREN Identifier NOTEQUAL Identifier RPAREN LBRACE 
13,0,RBRACE ELSE IF LPAREN Identifier EQUAL Identifier DOT Identifier RPAREN LBRACE 
14,0,RBRACE FINALLY LBRACE 
15,1,RBRACE WHILE LPAREN Identifier GT IntLiteral RPAREN SEMI 
16,1,RBRACE WHILE LPAREN Identifier GT IntLiteral RPAREN SEMI 
17,1,RBRACE WHILE LPAREN Identifier DOT Identifier LPAREN Identifier RPAREN LT IntLiteral RPAREN SEMI 
18,0,RBRACE CATCH LPAREN Identifier Identifier RPAREN LBRACE 
19,0,RBRACE ELSE LBRACE 
20,0,ADD LPAREN Identifier DOT Identifier LPAREN RPAREN DOT Identifier LPAREN RPAREN SUB Identifier DOT Identifier LPAREN RPAREN RPAREN 
21,0,LT Identifier GT Identifier Identifier LPAREN RPAREN SEMI 
22,0,LT Identifier GT Identifier Identifier LPAREN Identifier Identifier RPAREN SEMI 
23,0,Identifier ASSIGN Identifier DOT Identifier LPAREN Identifier LSHIFT Identifier COMMA Identifier RPAREN SEMI 
24,0,Identifier RSHIFT_ASSIGN Identifier DOT Identifier LPAREN Identifier RPAREN SEMI SingleComment 
25,0,ABSTRACT CLASS Identifier LT Identifier EXTENDS Identifier BITAND Identifier LT Identifier RSHIFT LBRACE 
26,0,ABSTRACT DOUBLE Identifier LPAREN Identifier Identifier RPAREN SEMI 
27,0,ABSTRACT LONG Identifier LPAREN LONG Identifier COMMA LONG Identifier COMMA LONG Identifier RPAREN SEMI 
28,0,ABSTRACT Identifier Identifier LPAREN Identifier Identifier COMMA Identifier Identifier RPAREN SEMI 
29,0,ABSTRACT Identifier Identifier LPAREN DOUBLE Identifier COMMA Identifier Identifier RPAREN SEMI 
30,1,Identifier MUL_ASSIGN LPAREN LPAREN Identifier BITAND IntLiteral RPAREN EQUAL IntLiteral RPAREN QUESTION IntLiteral COLON IntLiteral SEMI 
31,0,Identifier MUL_ASSIGN LPAREN LPAREN Identifier BITAND IntLiteral RPAREN EQUAL IntLiteral RPAREN QUESTION IntLiteral COLON Identifier SEMI 
32,0,Identifier LPAREN Identifier DOT Identifier LPAREN RPAREN DOT Identifier LPAREN RPAREN RPAREN SEMI 
33,0,Identifier LPAREN Identifier DOT Identifier LPAREN Identifier COLON COLON NEW COMMA Identifier COLON COLON Identifier COMMA Identifier COLON COLON Identifier RPAREN RPAREN SEMI 
34,0,Identifier DOT Identifier LPAREN Identifier LPAREN RPAREN COMMA Identifier LPAREN Identifier RPAREN RPAREN SEMI 
35,0,Identifier DOT Identifier DOT Identifier LPAREN RPAREN SEMI 
36,0,Identifier ASSIGN Identifier DOT Identifier LPAREN Identifier DOT Identifier RPAREN SEMI 
